model_data_global_parent_bvdid,filial_operating_revenue_max_eur_th
IT03032950242,1058290.083256
US133398766,12862131.910428
CN9361527733,3261872.146535
US452080495,6785848.421486
US128106349L,1241328.178548
US303702293L,804389.372216
US364686101L,804389.372216
US366073046L,804389.372216
US135628003L,1079313.208941
TH0107537000246,16375470.770135
US12199-112,879056.793679
US133728359,17833577.775448
ESA85845535,22670653.962624
KR1101110003543,6299313.256644
US149204549L,2391713.129514
US128966810L,1527283.687957
US124023201L,960998.023423
GB00102498,193632347.129094
US370602744,61795077.612708
DE8170797738,3687396.514364
DE7050001788,30341839.493679
IN31440FI,2019155.284981
IN001570615IND,803193.463837
AT9110290826,1035600.26048
US380549190,162358071.381886
US365218571L,804389.372216
US353731907L,804389.372216
DE5190000974,32208287.746867
CHCHE111788344,65267114.415531
US650723837,9870169.66393
US111806155,34806337.719719
US314177100,16409863.502762
US410948415,6769908.505376
US150240292L,1265704.713776
DE7330003759,274445934.119
US358206476L,804389.372216
US372081938L,1050998.156781
SE5560125790,50725577.160467
CA40844NC,3994783.025081
US383075672L,804389.372216
US365190434L,1910250.678228
US294715208L,931934.042043
US363291467L,804389.372216
US376807526L,804389.372216
US134922250,54665133.837989
US132070844L,24769372.469079
US561528994,17379741.695901
US310854434,8424258.565064
KR1301110006246,219760973.208475
US132282716L,2064505.022026
US371302241L,1224452.115698
US043416587,848707.311418
US314879018L,838177.788234
US800873306,4034278.134254
US350822201L,804389.372216
US372497639L,804389.372216
US336178943L,2221630.000628
DE5050680511,5076184.696612
US381239739,18888682.639949
US310387920,7228155.752596
US842224323,1289757.421899
US510263969,5692771.76122
US521604305,10260884.670889
AT9111373766,2465013.942413
CN30755PC,1587700.052961
US353222198L,961997.527365
US264210872L,1188828.486432
US233079390,241590042.357571
US*B000084369,1759372.525582
CA30358NC,3019380.044853
US741339132,3025235.86635
GB00293262,22326120.296617
USFEI1020143,1891625.174679
US302690834L,2087657.208081
US302062319L,1092214.975935
US346179176L,804389.372216
US411321939,298711641.247927
US454168768,3561555.769781
US128254101L,892307.291851
US363514169,7494463.298907
US*920491661,1037840.768748
US*110347669473,5323145.029217
DK58233528,31146923.20783
US430259330,13974393.970937
US131673581,38953153.86814
US824979096,16084581.584203
US354103082L,1072784.643925
US*B000097055,3731794.958467
US129295235L,967781.805745
US321810734L,767013.595512
US353226041L,1165058.678589
US356494997L,921997.718687
US368279534L,804389.372216
US370413143L,804389.372216
US399443378L,1277094.412696
LULB125718,2139212.027631
US131095628L,1537555.871049
US146891345L,6925430.501659
US301767104L,6246755.630038
US581167100,17768152.05896
CA30367NC,9744039.940408
